ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0001140361-25-036812	021-559359               	30-SEP-2025		X0708	D	LIVE		
0002031907-25-000002	021-559358               	30-SEP-2025		X0708	D	LIVE		
0002086384-25-000001	021-559357               	30-SEP-2025		X0708	D	LIVE		
0002088693-25-000001	021-559356               	30-SEP-2025		X0708	D	LIVE		
0000919574-25-005901	021-525384               	30-SEP-2025		X0708	D/A	LIVE		
0000905148-25-003452	021-559355               	30-SEP-2025		X0708	D	LIVE		
0002079785-25-000001	021-559354               	30-SEP-2025		X0708	D	LIVE		
0000945621-25-000899	021-559353               	30-SEP-2025		X0708	D	LIVE		
0001621804-25-000002	021-226180               	30-SEP-2025		X0708	D/A	LIVE		
0002088932-25-000001	021-559352               	30-SEP-2025		X0708	D	LIVE		
0001983741-25-000002	021-493294               	30-SEP-2025		X0708	D/A	LIVE		
0001470831-25-000243	021-543645               	30-SEP-2025		X0708	D/A	LIVE		
0002070576-25-000003	021-559351               	30-SEP-2025		X0708	D	LIVE		
0002088902-25-000001	021-559350               	30-SEP-2025		X0708	D	LIVE		
0001964029-25-000002	021-482588               	30-SEP-2025		X0708	D/A	LIVE		
0002070575-25-000003	021-559349               	30-SEP-2025		X0708	D	LIVE		
0002035665-25-000002	021-525708               	30-SEP-2025		X0708	D/A	LIVE		
0001923092-25-000004	021-559348               	30-SEP-2025		X0708	D	LIVE		
0001825141-25-000002	021-559347               	30-SEP-2025		X0708	D	LIVE		
0001612920-25-000005	021-544898               	30-SEP-2025		X0708	D/A	LIVE		
0001761140-25-000006	021-559346               	30-SEP-2025		X0708	D	LIVE		
0000950142-25-002579	021-550347               	30-SEP-2025	6282	X0708	D/A	LIVE		
0001470831-25-000242	021-543637               	30-SEP-2025		X0708	D/A	LIVE		
0002089474-25-000001	021-559345               	30-SEP-2025		X0708	D	LIVE		
0001654954-25-011260	021-559344               	30-SEP-2025		X0708	D	LIVE		
0002089169-25-000001	021-559343               	30-SEP-2025		X0708	D	LIVE		
0002039954-25-000002	021-559342               	30-SEP-2025		X0708	D	LIVE		
0001213900-25-094022	021-559341               	30-SEP-2025		X0708	D	LIVE		
0002089430-25-000001	021-559340               	30-SEP-2025		X0708	D	LIVE		
0002088911-25-000001	021-559339               	30-SEP-2025		X0708	D	LIVE		
0001398344-25-018702	021-468731               	30-SEP-2025		X0708	D/A	LIVE		
0001929098-25-000002	021-524140               	30-SEP-2025		X0708	D/A	LIVE		
0000950142-25-002578	021-559338               	30-SEP-2025		X0708	D	LIVE		
0002087032-25-000001	021-559337               	30-SEP-2025		X0708	D	LIVE		
0002081710-25-000001	021-559336               	30-SEP-2025		X0708	D	LIVE		
0002080022-25-000004	021-559335               	30-SEP-2025		X0708	D	LIVE		
0002089466-25-000001	021-559334               	30-SEP-2025		X0708	D	LIVE		
0002078956-25-000001	021-559333               	30-SEP-2025		X0708	D	LIVE		
0002087347-25-000001	021-559332               	30-SEP-2025		X0708	D	LIVE		
0002085469-25-000001	021-559331               	30-SEP-2025		X0708	D	LIVE		
0002088646-25-000001	021-559330               	30-SEP-2025		X0708	D	LIVE		
0001683168-25-007340	021-559329               	30-SEP-2025		X0708	D	LIVE		
0001845947-25-000004	021-559328               	30-SEP-2025		X0708	D	LIVE		
0002088926-25-000001	021-559327               	30-SEP-2025		X0708	D	LIVE		
0002075357-25-000001	021-559326               	30-SEP-2025		X0708	D	LIVE		
0001231919-25-000263	021-559325               	30-SEP-2025		X0708	D	LIVE		
0002087910-25-000001	021-559324               	30-SEP-2025		X0708	D	LIVE		
0002089305-25-000001	021-559323               	30-SEP-2025		X0708	D	LIVE		
0002087250-25-000001	021-559322               	30-SEP-2025		X0708	D	LIVE		
0002089294-25-000001	021-559321               	30-SEP-2025		X0708	D	LIVE		
0001012975-25-000588	021-559320               	30-SEP-2025		X0708	D	LIVE		
0001315863-25-000689	021-559319               	30-SEP-2025		X0708	D	LIVE		
0002085971-25-000001	021-559318               	30-SEP-2025		X0708	D	LIVE		
0002089259-25-000001	021-559317               	30-SEP-2025		X0708	D	LIVE		
0002068047-25-000004	021-545767               	30-SEP-2025		X0708	D/A	LIVE		
0002086725-25-000001	021-559316               	30-SEP-2025		X0708	D	LIVE		
0002084537-25-000001	021-559315               	30-SEP-2025		X0708	D	LIVE		
0002088194-25-000001	021-559314               	30-SEP-2025		X0708	D	LIVE		
0002086166-25-000001	021-559313               	30-SEP-2025		X0708	D	LIVE		
0002089346-25-000001	021-559312               	30-SEP-2025		X0708	D	LIVE		
0002089398-25-000001	021-559311               	30-SEP-2025		X0708	D	LIVE		
0001986161-25-000002	021-495189               	30-SEP-2025		X0708	D/A	LIVE		
0002088153-25-000001	021-559310               	30-SEP-2025		X0708	D	LIVE		
0001990933-25-000002	021-494143               	30-SEP-2025		X0708	D/A	LIVE		
0002087813-25-000001	021-559309               	30-SEP-2025		X0708	D	LIVE		
0001990777-25-000002	021-494163               	30-SEP-2025		X0708	D/A	LIVE		
0002037873-25-000002	021-559308               	30-SEP-2025		X0708	D	LIVE		
0002039258-25-000002	021-525716               	30-SEP-2025		X0708	D/A	LIVE		
0002084788-25-000001	021-559307               	30-SEP-2025		X0708	D	LIVE		
0001952031-25-000002	021-462827               	30-SEP-2025		X0708	D/A	LIVE		
0002089076-25-000001	021-559306               	30-SEP-2025		X0708	D	LIVE		
0001753174-25-000006	021-321470               	30-SEP-2025		X0708	D/A	LIVE		
0002088747-25-000001	021-559305               	30-SEP-2025		X0708	D	LIVE		
0002089407-25-000001	021-559304               	30-SEP-2025		X0708	D	LIVE		
0000929638-25-003687	021-525375               	30-SEP-2025		X0708	D/A	LIVE		
0001749418-25-000002	021-559303               	30-SEP-2025		X0708	D	LIVE		
0002081111-25-000018	021-559302               	30-SEP-2025		X0708	D	LIVE		
0002089078-25-000001	021-559301               	30-SEP-2025		X0708	D	LIVE		
0002088644-25-000001	021-559300               	30-SEP-2025		X0708	D	LIVE		
0000950142-25-002573	021-493453               	30-SEP-2025		X0708	D/A	LIVE		
0002088740-25-000001	021-559299               	30-SEP-2025		X0708	D	LIVE		
0002087085-25-000001	021-559298               	30-SEP-2025		X0708	D	LIVE		
0002088645-25-000001	021-559297               	30-SEP-2025		X0708	D	LIVE		
0002088900-25-000001	021-559296               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003451	021-559295               	30-SEP-2025		X0708	D	LIVE		
0001437749-25-030097	021-559294               	30-SEP-2025	6022	X0708	D	LIVE		
0002038296-25-000003	021-524800               	30-SEP-2025		X0708	D/A	LIVE		
0000905148-25-003450	021-559293               	30-SEP-2025		X0708	D	LIVE		
0002084076-25-000001	021-559292               	30-SEP-2025		X0708	D	LIVE		
0002089385-25-000001	021-559291               	30-SEP-2025		X0708	D	LIVE		
0001992500-25-000005	021-559290               	30-SEP-2025		X0708	D	LIVE		
0002087736-25-000001	021-559289               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003449	021-559288               	30-SEP-2025		X0708	D	LIVE		
0002089389-25-000001	021-559287               	30-SEP-2025		X0708	D	LIVE		
0001315863-25-000688	021-559286               	30-SEP-2025		X0708	D	LIVE		
0000919574-25-005898	021-559285               	30-SEP-2025		X0708	D	LIVE		
0002076514-25-000001	021-551788               	30-SEP-2025		X0708	D/A	LIVE		
0001315863-25-000687	021-559284               	30-SEP-2025		X0708	D	LIVE		
0000919574-25-005896	021-539532               	30-SEP-2025		X0708	D/A	LIVE		
0002080562-25-000001	021-559283               	30-SEP-2025		X0708	D	LIVE		
0001913442-25-000002	021-559282               	30-SEP-2025		X0708	D	LIVE		
0001979660-25-000003	021-559281               	30-SEP-2025		X0708	D	LIVE		
0002088901-25-000001	021-559280               	30-SEP-2025		X0708	D	LIVE		
0002086959-25-000001	021-559279               	30-SEP-2025		X0708	D	LIVE		
0002087575-25-000002	021-559278               	30-SEP-2025		X0708	D	LIVE		
0002082643-25-000001	021-559277               	30-SEP-2025		X0708	D	LIVE		
0002088235-25-000001	021-559276               	30-SEP-2025		X0708	D	LIVE		
0002080830-25-000001	021-559275               	30-SEP-2025		X0708	D	LIVE		
0002088871-25-000001	021-559274               	30-SEP-2025		X0708	D	LIVE		
0001792606-25-000003	021-352176               	30-SEP-2025		X0708	D/A	LIVE		
0002087935-25-000002	021-558843               	30-SEP-2025		X0708	D/A	LIVE		
0001724977-25-000010	021-559273               	30-SEP-2025		X0708	D	LIVE		
0001800310-25-000002	021-559272               	30-SEP-2025		X0708	D	LIVE		
0001742577-25-000006	021-559271               	30-SEP-2025		X0708	D	LIVE		
0002039242-25-000002	021-525383               	30-SEP-2025		X0708	D/A	LIVE		
0001742577-25-000005	021-559270               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003448	021-349889               	30-SEP-2025		X0708	D/A	LIVE		
0002089383-25-000001	021-559269               	30-SEP-2025		X0708	D	LIVE		
0002084179-25-000001	021-559268               	30-SEP-2025		X0708	D	LIVE		
0002040453-25-000007	021-526944               	30-SEP-2025		X0708	D/A	LIVE		
0002078258-25-000001	021-559267               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003447	021-203443               	30-SEP-2025		X0708	D/A	LIVE		
0002088118-25-000002	021-559266               	30-SEP-2025		X0708	D	LIVE		
0002089394-25-000001	021-559265               	30-SEP-2025		X0708	D	LIVE		
0002086709-25-000001	021-559264               	30-SEP-2025		X0708	D	LIVE		
0002088203-25-000001	021-559263               	30-SEP-2025		X0708	D	LIVE		
0002087580-25-000001	021-559262               	30-SEP-2025		X0708	D	LIVE		
0002039664-25-000006	021-559261               	30-SEP-2025		X0708	D	LIVE		
0001449184-25-000002	021-124020               	30-SEP-2025		X0708	D/A	LIVE		
0000950172-25-000184	021-559260               	30-SEP-2025		X0708	D	LIVE		
0000919574-25-005894	021-525384               	30-SEP-2025		X0708	D/A	LIVE		
0002084949-25-000001	021-559259               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003446	021-349842               	30-SEP-2025		X0708	D/A	LIVE		
0002084177-25-000001	021-559258               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003445	021-322343               	30-SEP-2025		X0708	D/A	LIVE		
0001013594-25-001173	021-493302               	30-SEP-2025		X0708	D/A	LIVE		
0001983534-25-000002	021-485687               	30-SEP-2025		X0708	D/A	LIVE		
0000905148-25-003444	021-559257               	30-SEP-2025		X0708	D	LIVE		
0002088037-25-000001	021-559256               	30-SEP-2025		X0708	D	LIVE		
0000950103-25-012528	021-559255               	30-SEP-2025		X0708	D	LIVE		
0002064231-25-000001	021-559254               	30-SEP-2025		X0708	D	LIVE		
0001705589-25-000003	021-287001               	30-SEP-2025		X0708	D/A	LIVE		
0002088435-25-000001	021-559253               	30-SEP-2025		X0708	D	LIVE		
0001947019-25-000002	021-459364               	30-SEP-2025		X0708	D/A	LIVE		
0001213900-25-093638	021-258768               	30-SEP-2025		X0708	D/A	LIVE		
0002065337-25-000011	021-559252               	30-SEP-2025	6282	X0708	D	LIVE		
0000935836-25-000615	021-68779                	30-SEP-2025		X0708	D/A	LIVE		
0002034692-25-000007	021-549258               	30-SEP-2025		X0708	D/A	LIVE		
0002078772-25-000001	021-559251               	30-SEP-2025		X0708	D	LIVE		
0002062802-25-000002	021-559250               	30-SEP-2025		X0708	D	LIVE		
0000935836-25-000614	021-317325               	30-SEP-2025		X0708	D/A	LIVE		
0002084477-25-000001	021-559249               	30-SEP-2025		X0708	D	LIVE		
0002062800-25-000002	021-559248               	30-SEP-2025		X0708	D	LIVE		
0002037281-25-000002	021-525254               	30-SEP-2025		X0708	D/A	LIVE		
0002085806-25-000001	021-559247               	30-SEP-2025		X0708	D	LIVE		
0002037280-25-000002	021-525246               	30-SEP-2025		X0708	D/A	LIVE		
0002062815-25-000002	021-559246               	30-SEP-2025		X0708	D	LIVE		
0000902664-25-004232	021-525392               	30-SEP-2025		X0708	D/A	LIVE		
0001470831-25-000241	021-559245               	30-SEP-2025		X0708	D	LIVE		
0002016447-25-000002	021-559244               	30-SEP-2025		X0708	D	LIVE		
0002087233-25-000001	021-559243               	30-SEP-2025		X0708	D	LIVE		
0002086443-25-000001	021-559242               	30-SEP-2025		X0708	D	LIVE		
0002088429-25-000001	021-559241               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003443	021-493445               	30-SEP-2025		X0708	D/A	LIVE		
0000905148-25-003442	021-460116               	30-SEP-2025		X0708	D/A	LIVE		
0001989287-25-000002	021-489819               	30-SEP-2025		X0708	D/A	LIVE		
0002080251-25-000001	021-559240               	30-SEP-2025		X0708	D	LIVE		
0001988807-25-000002	021-489196               	30-SEP-2025		X0708	D/A	LIVE		
0001948136-25-000004	021-460112               	30-SEP-2025		X0708	D/A	LIVE		
0002073551-25-000001	021-559239               	30-SEP-2025		X0708	D	LIVE		
0000905148-25-003441	021-493444               	30-SEP-2025		X0708	D/A	LIVE		
0002026759-25-000002	021-519796               	30-SEP-2025		X0708	D/A	LIVE		
0000905148-25-003440	021-460113               	30-SEP-2025		X0708	D/A	LIVE		
0002086246-25-000001	021-559238               	30-SEP-2025		X0708	D	LIVE		
0002058802-25-000014	021-541592               	30-SEP-2025		X0708	D/A	LIVE		
0002087692-25-000001	021-559237               	30-SEP-2025		X0708	D	LIVE		
0002086433-25-000001	021-559236               	30-SEP-2025		X0708	D	LIVE		
0002088913-25-000001	021-559235               	30-SEP-2025		X0708	D	LIVE		
0002031465-25-000003	021-525331               	30-SEP-2025		X0708	D/A	LIVE		
0002080255-25-000003	021-559234               	30-SEP-2025		X0708	D	LIVE		
0002087795-25-000001	021-559233               	30-SEP-2025		X0708	D	LIVE		
0002081111-25-000016	021-378087               	30-SEP-2025		X0708	D/A	LIVE		
0002087687-25-000001	021-559232               	30-SEP-2025		X0708	D	LIVE		
0001321086-25-000006	021-559231               	30-SEP-2025		X0708	D	LIVE		
0002087657-25-000001	021-559230               	30-SEP-2025		X0708	D	LIVE		
0001945072-25-000002	021-459572               	30-SEP-2025		X0708	D/A	LIVE		
0000902664-25-004231	021-559229               	30-SEP-2025		X0708	D	LIVE		
0002086858-25-000002	021-558278               	30-SEP-2025		X0708	D/A	LIVE		
0000902664-25-004230	021-559228               	30-SEP-2025		X0708	D	LIVE		
0001654954-25-011223	021-559227               	30-SEP-2025		X0708	D	LIVE		
0002014814-25-000002	021-509296               	30-SEP-2025		X0708	D/A	LIVE		
0002085317-25-000001	021-559226               	30-SEP-2025		X0708	D	LIVE		
0000898432-25-000739	021-559225               	30-SEP-2025		X0708	D	LIVE		
0001470831-25-000240	021-559224               	30-SEP-2025		X0708	D	LIVE		
0002043330-25-000002	021-559223               	30-SEP-2025		X0708	D	LIVE		
0001465818-25-000009	021-559222               	30-SEP-2025		X0708	D	LIVE		
0002089142-25-000001	021-559221               	30-SEP-2025		X0708	D	LIVE		
0001465818-25-000008	021-559220               	30-SEP-2025		X0708	D	LIVE		
0001685860-25-000002	021-271529               	30-SEP-2025		X0708	D/A	LIVE		
0001895510-25-000004	021-437393               	30-SEP-2025		X0708	D/A	LIVE		
0001685756-25-000004	021-271390               	30-SEP-2025		X0708	D/A	LIVE		
0001814554-25-000129	021-442335               	30-SEP-2025		X0708	D/A	LIVE		
0001921881-25-000002	021-559219               	30-SEP-2025		X0708	D	LIVE		
0001941703-25-000002	021-460334               	30-SEP-2025		X0708	D/A	LIVE		
0001012975-25-000587	021-525411               	30-SEP-2025		X0708	D/A	LIVE		
0002088222-25-000001	021-559218               	30-SEP-2025		X0708	D	LIVE		
0001775178-25-000003	021-559217               	30-SEP-2025		X0708	D	LIVE		
0002038838-25-000002	021-525623               	30-SEP-2025		X0708	D/A	LIVE		
0001409158-25-000003	021-559489               	30-SEP-2025		X0708	D	LIVE		
0000905729-25-000153	021-559216               	30-SEP-2025		X0708	D	LIVE		
0002085643-25-000001	021-559215               	30-SEP-2025		X0708	D	LIVE		
0001409162-25-000004	021-559487               	30-SEP-2025		X0708	D	LIVE		
0001502145-25-000004	021-148400               	30-SEP-2025		X0708	D/A	LIVE		
0002088962-25-000001	021-559214               	30-SEP-2025		X0708	D	LIVE		
0002089072-25-000001	021-559213               	30-SEP-2025		X0708	D	LIVE		
0002087536-25-000002	021-559144               	30-SEP-2025		X0708	D/A	LIVE		
0001493152-25-016164	021-525324               	30-SEP-2025		X0708	D/A	LIVE		
0001493152-25-016162	021-525325               	30-SEP-2025		X0708	D/A	LIVE		
0001493152-25-016156	021-525347               	30-SEP-2025		X0708	D/A	LIVE		
0001493152-25-016153	021-525346               	30-SEP-2025		X0708	D/A	LIVE		
0002084102-25-000001	021-559204               	30-SEP-2025		X0708	D	LIVE		
0002070425-25-000001	021-548844               	30-SEP-2025		X0708	D/A	LIVE		
0002086952-25-000002	021-559199               	30-SEP-2025		X0708	D	LIVE		
0002085670-25-000001	021-559200               	30-SEP-2025		X0708	D	LIVE		
0002072138-25-000001	021-548846               	30-SEP-2025		X0708	D/A	LIVE		
0002088420-25-000001	021-559188               	30-SEP-2025		X0708	D	LIVE		
0002088513-25-000001	021-559203               	30-SEP-2025		X0708	D	LIVE		
0002081140-25-000002	021-555010               	30-SEP-2025		X0708	D/A	LIVE		
0002088851-25-000001	021-559179               	30-SEP-2025		X0708	D	LIVE		
0001493152-25-016081	021-559180               	30-SEP-2025	3841	X0708	D	LIVE		
0001231919-25-000256	021-559189               	30-SEP-2025		X0708	D	LIVE		
0002042514-25-000002	021-559206               	30-SEP-2025		X0708	D	LIVE		
0002088108-25-000001	021-559184               	30-SEP-2025		X0708	D	LIVE		
0001883831-25-000004	021-486015               	30-SEP-2025		X0708	D/A	LIVE		
0002088151-25-000001	021-559181               	30-SEP-2025		X0708	D	LIVE		
0002087180-25-000001	021-559194               	30-SEP-2025		X0708	D	LIVE		
0002086929-25-000001	021-559195               	30-SEP-2025		X0708	D	LIVE		
0002086948-25-000001	021-559196               	30-SEP-2025		X0708	D	LIVE		
0002085972-25-000001	021-559198               	30-SEP-2025		X0708	D	LIVE		
0002088779-25-000001	021-559178               	30-SEP-2025		X0708	D	LIVE		
0002088524-25-000001	021-559205               	30-SEP-2025		X0708	D	LIVE		
0001823255-25-000002	021-559210               	30-SEP-2025		X0708	D	LIVE		
0002083611-25-000001	021-559211               	30-SEP-2025		X0708	D	LIVE		
0001897766-25-000004	021-548029               	30-SEP-2025		X0708	D/A	LIVE		
0002086910-25-000001	021-559191               	30-SEP-2025		X0708	D	LIVE		
0002088200-25-000001	021-559193               	30-SEP-2025		X0708	D	LIVE		
0001170141-25-000005	021-559174               	30-SEP-2025		X0708	D	LIVE		
0002076609-25-000002	021-551235               	30-SEP-2025		X0708	D/A	LIVE		
0002088607-25-000001	021-559190               	30-SEP-2025		X0708	D	LIVE		
0002084851-25-000001	021-559192               	30-SEP-2025		X0708	D	LIVE		
0002088509-25-000001	021-559197               	30-SEP-2025		X0708	D	LIVE		
