ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0002119377-26-000001	021-578636               	31-MAR-2026		X0708	D	LIVE		
0001956900-26-000001	021-565228               	31-MAR-2026		X0708	D/A	LIVE		
0002119378-26-000001	021-578635               	31-MAR-2026		X0708	D	LIVE		
0001814554-26-000058	021-578634               	31-MAR-2026		X0708	D	LIVE		
0002125936-26-000001	021-578633               	31-MAR-2026		X0708	D	LIVE		
0002114240-26-000003	021-576970               	31-MAR-2026		X0708	D/A	LIVE		
0002104990-26-000001	021-578632               	31-MAR-2026		X0708	D	LIVE		
0001493152-26-014345	021-578631               	31-MAR-2026	7900	X0708	D	LIVE		
0002125443-26-000001	021-578630               	31-MAR-2026		X0708	D	LIVE		
0001493152-26-014343	021-578629               	31-MAR-2026	7900	X0708	D	LIVE		
0002114243-26-000003	021-576969               	31-MAR-2026		X0708	D/A	LIVE		
0002125436-26-000001	021-578628               	31-MAR-2026		X0708	D	LIVE		
0002119262-26-000005	021-578627               	31-MAR-2026		X0708	D	LIVE		
0002108351-26-000001	021-578626               	31-MAR-2026		X0708	D	LIVE		
0002125425-26-000001	021-578625               	31-MAR-2026		X0708	D	LIVE		
0001932971-26-000003	021-450476               	31-MAR-2026		X0708	D/A	LIVE		
0000950142-26-000979	021-578624               	31-MAR-2026		X0708	D	LIVE		
0002125083-26-000001	021-578623               	31-MAR-2026		X0708	D	LIVE		
0000950142-26-000976	021-578622               	31-MAR-2026		X0708	D	LIVE		
0002114245-26-000002	021-576967               	31-MAR-2026		X0708	D/A	LIVE		
0000950142-26-000975	021-578621               	31-MAR-2026		X0708	D	LIVE		
0001932972-26-000003	021-450473               	31-MAR-2026		X0708	D/A	LIVE		
0000950142-26-000973	021-578620               	31-MAR-2026		X0708	D	LIVE		
0001972203-26-000003	021-479069               	31-MAR-2026		X0708	D/A	LIVE		
0000950142-26-000971	021-578619               	31-MAR-2026		X0708	D	LIVE		
0002114584-26-000001	021-578618               	31-MAR-2026		X0708	D	LIVE		
0002092619-26-000001	021-578617               	31-MAR-2026		X0708	D	LIVE		
0002114242-26-000003	021-576966               	31-MAR-2026		X0708	D/A	LIVE		
0000950142-26-000969	021-578616               	31-MAR-2026		X0708	D	LIVE		
0001493152-26-014308	021-578615               	31-MAR-2026		X0708	D	LIVE		
0001860424-26-000001	021-417017               	31-MAR-2026		X0708	D/A	LIVE		
0001865052-26-000004	021-578614               	31-MAR-2026		X0708	D	LIVE		
0001012975-26-000285	021-578613               	31-MAR-2026		X0708	D	LIVE		
0001213900-26-037584	021-578612               	31-MAR-2026	6770	X0708	D	LIVE		
0001936997-26-000003	021-578611               	31-MAR-2026		X0708	D	LIVE		
0002121337-26-000001	021-578610               	31-MAR-2026		X0708	D	LIVE		
0002126250-26-000001	021-578609               	31-MAR-2026		X0708	D	LIVE		
0001869388-26-000002	021-406684               	31-MAR-2026		X0708	D/A	LIVE		
0002124991-26-000001	021-578608               	31-MAR-2026		X0708	D	LIVE		
0001689801-26-000001	021-274359               	31-MAR-2026		X0708	D/A	LIVE		
0001932974-26-000003	021-450472               	31-MAR-2026		X0708	D/A	LIVE		
0002126228-26-000001	021-578607               	31-MAR-2026		X0708	D	LIVE		
0001932975-26-000003	021-450471               	31-MAR-2026		X0708	D/A	LIVE		
0000919574-26-001989	021-578606               	31-MAR-2026		X0708	D	LIVE		
0002107396-26-000004	021-578605               	31-MAR-2026		X0708	D	LIVE		
0002011071-26-000001	021-578604               	31-MAR-2026		X0708	D	LIVE		
0002124535-26-000001	021-578603               	31-MAR-2026		X0708	D	LIVE		
0002113212-26-000001	021-578602               	31-MAR-2026		X0708	D	LIVE		
0002054552-26-000001	021-542965               	31-MAR-2026		X0708	D/A	LIVE		
0002093068-26-000001	021-563241               	31-MAR-2026		X0708	D/A	LIVE		
0002093416-26-000002	021-578601               	31-MAR-2026		X0708	D	LIVE		
0002126020-26-000001	021-578600               	31-MAR-2026		X0708	D	LIVE		
0002106994-26-000003	021-578599               	31-MAR-2026		X0708	D	LIVE		
0002124939-26-000001	021-578598               	31-MAR-2026		X0708	D	LIVE		
0002068659-26-000001	021-546240               	31-MAR-2026		X0708	D/A	LIVE		
0002061562-26-000001	021-578597               	31-MAR-2026		X0708	D	LIVE		
0002125361-26-000001	021-578596               	31-MAR-2026		X0708	D	LIVE		
0002106994-26-000002	021-578595               	31-MAR-2026		X0708	D	LIVE		
0002126127-26-000001	021-578594               	31-MAR-2026		X0708	D	LIVE		
0000950142-26-000966	021-578593               	31-MAR-2026		X0708	D	LIVE		
0002125061-26-000001	021-578592               	31-MAR-2026		X0708	D	LIVE		
0002113986-26-000001	021-578591               	31-MAR-2026		X0708	D	LIVE		
0002125055-26-000001	021-578590               	31-MAR-2026		X0708	D	LIVE		
0002126095-26-000001	021-578589               	31-MAR-2026		X0708	D	LIVE		
0001213900-26-037453	021-578588               	31-MAR-2026	3841	X0708	D	LIVE		
