ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001907134-25-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001907134-25-000001	2022-06-01		true					true			true	Limited Partnership Interests.	false		250000		Indefinite	59539429	Indefinite		false		83	0	true	0	true		0	true	Tephra Digital GP LLC and certain persons listed in Item 3 may receive a management fee based on the value of the issuer's assets and/or a performance-based fee based on the issuer's profits.	false
0001907136-25-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001907136-25-000001	2022-06-01		true					true			true	Participating Shares.	false		250000		Indefinite	2909013	Indefinite		false		8	0	true	0	true		0	true	Tephra Digital LLC and certain persons listed in Item 3 may receive a management fee based on the value of the issuer's assets and/or a performance based fee based on the issuer's profits.	false
0002070131-25-000001	Other Technology			Decline to Disclose		06b	false		2025-05-14		false	true									false		0		3110000	1609994	1500006		false		9	0		0			0			false
0002070514-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-22		false					true					false		2500		972500	972500	0		false		10	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002070511-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-22		false					true					false		5000		520997	520997	0		false		14	0		0			21000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002070506-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-21		false					true					false		1000		137000	137000	0		false		8	0		0			0			false
0002040119-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-28		false					true					false		1000		58200	58200	0		false		26	0		0			5820	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002070736-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-21		false					true					false		1000000		1000000	1000000	0		false		1	0		0			0		The agent of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.	false
0002070505-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-21		false					true					false		995		210000	210000	0		false		36	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002070512-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-22		false					true					false		1500		232500	232500	0		false		15	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0001741616-25-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001741616-24-000001	2018-07-05		true					true					false		1000000		Indefinite	287660848	Indefinite		false		57	0		0		Callodine Capital Partners, LLC and Callodine Capital Management, LP (affiliates of the Issuer) have entered into a placement agent agreement with the entities named in Item 12 and will be responsible for paying any commissions owed.	0		The Investment Manager receives customary management fees and the General Partner may receive incentive allocations based on the fund's investment performance, as outlined in the offering documents.	false
0002070507-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-21		false					true					false		1000		105000	105000	0		false		10	0		0			0			false
0002058942-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-28		false					true					false		1000		84208	84208	0		false		29	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002070515-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-05-22		false					true					false		1000		225000	225000	0		false		29	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0000902664-25-002565	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-24-001453	2015-06-01		true					true			true	Limited Partnership Interest	false		1		Indefinite	1092601086	Indefinite	Represents the total amount sold as of the filing date by the Issuer in this offering.	false		121	0		0			0		Management fees will be paid to Governors Lane LP, in its capacity as investment manager as described in the Issuer's offering documents.	false
0001012975-25-000281	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0000902664-25-002564	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-24-001452	2015-06-01		true	true				true					false		100000		Indefinite	1470819823	Indefinite	Represents the total amount sold as of the filing date by the Issuer in this offering.	false		157	0		0			0		Management fees will be paid to Governors Lane LP, in its capacity as investment manager as described in the Issuer's offering documents.	false
