ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0001470831-25-000459	021-568664               	31-DEC-2025		X0708	D	LIVE		
0001909185-25-000002	021-433352               	31-DEC-2025		X0708	D/A	LIVE		
0001906763-25-000002	021-431336               	31-DEC-2025		X0708	D/A	LIVE		
0002098228-25-000001	021-568663               	31-DEC-2025		X0708	D	LIVE		
0001576079-25-000003	021-196184               	31-DEC-2025		X0708	D/A	LIVE		
0002103413-25-000001	021-568662               	31-DEC-2025		X0708	D	LIVE		
0002101733-25-000001	021-568661               	31-DEC-2025		X0708	D	LIVE		
0002103483-25-000001	021-568660               	31-DEC-2025		X0708	D	LIVE		
0002099684-25-000001	021-568659               	31-DEC-2025		X0708	D	LIVE		
0000929638-25-004794	021-86588                	31-DEC-2025		X0708	D/A	LIVE		
0002061595-25-000004	021-559707               	31-DEC-2025		X0708	D/A	LIVE		
0001587468-25-000010	021-568658               	31-DEC-2025		X0708	D	LIVE		
0001213900-25-127129	021-568657               	31-DEC-2025	2834	X0708	D	LIVE		
0002101607-25-000001	021-568656               	31-DEC-2025		X0708	D	LIVE		
0002101621-25-000001	021-568655               	31-DEC-2025		X0708	D	LIVE		
0001587468-25-000009	021-568654               	31-DEC-2025		X0708	D	LIVE		
0002102934-25-000002	021-568643               	31-DEC-2025		X0708	D/A	LIVE		
0001682360-25-000002	021-268989               	31-DEC-2025		X0708	D/A	LIVE		
0000904454-25-000644	021-568653               	31-DEC-2025		X0708	D	LIVE		
0001693606-25-000002	021-277450               	31-DEC-2025		X0708	D/A	LIVE		
0002085503-25-000001	021-568652               	31-DEC-2025		X0708	D	LIVE		
0001616262-25-000009	021-568651               	31-DEC-2025	2060	X0708	D	LIVE		
0001493152-25-029777	021-568650               	31-DEC-2025	7374	X0708	D	LIVE		
0002101272-25-000001	021-568649               	31-DEC-2025		X0708	D	LIVE		
0002039250-25-000002	021-525674               	31-DEC-2025		X0708	D/A	LIVE		
0002103457-25-000001	021-568648               	31-DEC-2025		X0708	D	LIVE		
0002103426-25-000001	021-568647               	31-DEC-2025		X0708	D	LIVE		
0002100816-25-000001	021-568646               	31-DEC-2025		X0708	D	LIVE		
0001722345-25-000002	021-299240               	31-DEC-2025		X0708	D/A	LIVE		
0002050472-25-000003	021-533977               	31-DEC-2025		X0708	D/A	LIVE		
0002080275-25-000003	021-568645               	31-DEC-2025		X0708	D	LIVE		
0002102376-25-000001	021-568644               	31-DEC-2025		X0708	D	LIVE		
0001387866-25-000002	021-99306                	31-DEC-2025		X0708	D/A	LIVE		
0002102934-25-000001	021-568643               	31-DEC-2025		X0708	D	LIVE		
0002103417-25-000001	021-568642               	31-DEC-2025		X0708	D	LIVE		
0001193125-25-338248	021-568641               	31-DEC-2025	3690	X0708	D	LIVE		
0001360677-25-000002	021-88856                	31-DEC-2025		X0708	D/A	LIVE		
0002103144-25-000001	021-568640               	31-DEC-2025		X0708	D	LIVE		
0001817471-25-000005	021-533580               	31-DEC-2025		X0708	D/A	LIVE		
0002103423-25-000001	021-568639               	31-DEC-2025		X0708	D	LIVE		
0002082557-25-000002	021-568638               	31-DEC-2025		X0708	D	LIVE		
0002102818-25-000001	021-568637               	31-DEC-2025		X0708	D	LIVE		
0002013710-25-000004	021-506319               	31-DEC-2025		X0708	D/A	LIVE		
0001977963-25-000002	021-482029               	31-DEC-2025		X0708	D/A	LIVE		
0001012975-25-001001	021-568636               	31-DEC-2025		X0708	D	LIVE		
0002103412-25-000001	021-568635               	31-DEC-2025		X0708	D	LIVE		
0002103118-25-000001	021-568634               	31-DEC-2025		X0708	D	LIVE		
0001470831-25-000458	021-532972               	31-DEC-2025		X0708	D/A	LIVE		
0002082559-25-000002	021-568633               	31-DEC-2025		X0708	D	LIVE		
0002093312-25-000002	021-563775               	31-DEC-2025		X0708	D/A	LIVE		
0002103012-25-000001	021-568632               	31-DEC-2025		X0708	D	LIVE		
0001948756-25-000002	021-568631               	31-DEC-2025		X0708	D	LIVE		
0002102819-25-000001	021-568630               	31-DEC-2025		X0708	D	LIVE		
0002103042-25-000001	021-568629               	31-DEC-2025		X0708	D	LIVE		
0002092980-25-000003	021-568628               	31-DEC-2025		X0708	D	LIVE		
0002101714-25-000001	021-568627               	31-DEC-2025		X0708	D	LIVE		
0002103045-25-000001	021-568626               	31-DEC-2025		X0708	D	LIVE		
0002103420-25-000001	021-568625               	31-DEC-2025		X0708	D	LIVE		
0002102980-25-000001	021-568624               	31-DEC-2025		X0708	D	LIVE		
0001743235-25-000002	021-568623               	31-DEC-2025		X0708	D	LIVE		
0002103024-25-000001	021-568622               	31-DEC-2025		X0708	D	LIVE		
0000892712-25-000179	021-568621               	31-DEC-2025		X0708	D	LIVE		
0002103192-25-000001	021-568620               	31-DEC-2025		X0708	D	LIVE		
0001077901-25-000003	021-134338               	31-DEC-2025		X0708	D/A	LIVE		
0001917508-25-000002	021-568619               	31-DEC-2025		X0708	D	LIVE		
0002103324-25-000001	021-568618               	31-DEC-2025		X0708	D	LIVE		
0001077900-25-000003	021-129459               	31-DEC-2025		X0708	D/A	LIVE		
0002103068-25-000001	021-568617               	31-DEC-2025		X0708	D	LIVE		
0002091720-25-000001	021-568616               	31-DEC-2025		X0708	D	LIVE		
0002103157-25-000001	021-568615               	31-DEC-2025		X0708	D	LIVE		
0002103233-25-000001	021-568614               	31-DEC-2025		X0708	D	LIVE		
0001062993-25-017530	021-568613               	31-DEC-2025		X0708	D	LIVE		
0002103001-25-000001	021-568612               	31-DEC-2025		X0708	D	LIVE		
0002039973-25-000003	021-568611               	31-DEC-2025		X0708	D	LIVE		
0002090454-25-000002	021-560135               	31-DEC-2025		X0708	D/A	LIVE		
0001782348-25-000005	021-562705               	31-DEC-2025		X0708	D/A	LIVE		
0002103067-25-000001	021-568610               	31-DEC-2025		X0708	D	LIVE		
0002103065-25-000001	021-568609               	31-DEC-2025		X0708	D	LIVE		
0001091003-25-000002	021-162436               	31-DEC-2025		X0708	D/A	LIVE		
